Hearing ID,Date,Title,PDF link,Raw Text link
tq_37,"u'June 19, 2003'",S. Hrg. 108-313 - TEACHERS UNION SCANDALS: CLOSING THE GAPS IN UNION MEMBER PROTECTION,http://www.gpo.gov:80/fdsys/pkg/CHRG-108shrg88090/pdf/CHRG-108shrg88090.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-108shrg88090/html/CHRG-108shrg88090.htm
tq_38,"u'June 9, 2011'",S. Hrg. 112-801 - GETTING THE MOST BANG FOR THE BUCK: QUALITY EARLY EDUCATION AND CARE,http://www.gpo.gov:80/fdsys/pkg/CHRG-112shrg82228/pdf/CHRG-112shrg82228.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-112shrg82228/html/CHRG-112shrg82228.htm
tq_39,9999,"S. Hrg. 107-524, Part I - AIR QUALITY IN NEW YORK CITY AFTER THE SEPTEMBER 11, 2001 ATTACKS",http://www.gpo.gov:80/fdsys/pkg/CHRG-107shrg80397/pdf/CHRG-107shrg80397.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-107shrg80397/html/CHRG-107shrg80397.htm
tq_40,"u'July 20, 2004'","House Hearing, 108th Congress
									 - H.R. 4391, THE ``PUBLIC SERVANT RETIREMENT PROTECTION ACT''",http://www.gpo.gov:80/fdsys/pkg/CHRG-108hhrg99683/pdf/CHRG-108hhrg99683.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-108hhrg99683/html/CHRG-108hhrg99683.htm
tq_41,"u'October 2, 2007'","House Hearing, 110th Congress
									 - NANOTECHNOLOGY EDUCATION",http://www.gpo.gov:80/fdsys/pkg/CHRG-110hhrg37986/pdf/CHRG-110hhrg37986.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-110hhrg37986/html/CHRG-110hhrg37986.htm
tq_42,"u'April 29, 2009'","House Hearing, 111th Congress
									 - STRENGTHENING AMERICA'S COMPETITIVENESS THROUGH COMMON ACADEMIC STANDARDS",http://www.gpo.gov:80/fdsys/pkg/CHRG-111hhrg48732/pdf/CHRG-111hhrg48732.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-111hhrg48732/html/CHRG-111hhrg48732.htm
tq_43,"u'May 14, 2007'","House Hearing, 110th Congress
									 - EXAMINING LOCAL PERSPECTIVES ON THE NO CHILD LEFT BEHIND ACT",http://www.gpo.gov:80/fdsys/pkg/CHRG-110hhrg35123/pdf/CHRG-110hhrg35123.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-110hhrg35123/html/CHRG-110hhrg35123.htm
tq_44,"u'May 1, 2003'","House Hearing, 108th Congress
									 - SOCIAL SECURITY PROVISIONS AFFECTING PUBLIC EMPLOYEES",http://www.gpo.gov:80/fdsys/pkg/CHRG-108hhrg93600/pdf/CHRG-108hhrg93600.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-108hhrg93600/html/CHRG-108hhrg93600.htm
tq_45,"u'March 18, 2004'","House Hearing, 108th Congress
									 - THE 2003 PRESIDENTIAL AWARDEES FOR EXCELLENCE IN MATH AND SCIENCE TEACHING: A LESSON PLAN FOR SUCCESS",http://www.gpo.gov:80/fdsys/pkg/CHRG-108hhrg92513/pdf/CHRG-108hhrg92513.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-108hhrg92513/html/CHRG-108hhrg92513.htm
tq_46,"u'September 8, 2011'","S. Hrg. 112-864 - EXAMINING QUALITY AND SAFETY IN CHILD CARE: GIVING WORKING FAMILIES SECURITY, CONFIDENCE AND PEACE OF MIND",http://www.gpo.gov:80/fdsys/pkg/CHRG-112shrg87199/pdf/CHRG-112shrg87199.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-112shrg87199/html/CHRG-112shrg87199.htm
